Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Distance_to_Brussels,Distance_to_Nearest_Airport,total_income,Employment Rate (%),Unemployment Rate (%),Population Density
270000,5024,APARTMENT,APARTMENT,GOOD,3,105.0,0,0.0,0.0,0.0,2.0,0.0,0.0,namur,Namur,58.765558201453175,36.4635531134897,7230687098.650001,72.2,5.4,629.8076172786363
309000,8200,APARTMENT,APARTMENT,AS_NEW,1,83.0,0,1.0,0.0,0.0,2.0,0.0,1.0,brugge,Other,90.9910617861971,21.48014189986049,1754096553.2486956,72.2,5.4,
139000,4671,APARTMENT,TRIPLEX,GOOD,1,126.0,0,1.0,1.0,0.0,2.0,0.0,0.0,blegny,Liège,95.57293547142277,16.432913033826274,941798963.55,72.2,5.4,509.7636889402948
280000,1150,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,85.0,0,1.0,0.0,0.0,2.0,0.0,1.0,woluwe-saint-pierre,Brussels Capital,6.763860980854028,8.336993173732244,3119975982.09,63.7,12.3,4678.100930832918
219000,2845,APARTMENT,APARTMENT,GOOD,2,90.0,1,0.0,0.0,0.0,2.0,0.0,1.0,niel,Antwerp,28.59871775015313,12.626093782667278,720335901.36,76.2,3.4,1973.51902441518
598000,8301,HOUSE,HOUSE,JUST_RENOVATED,3,146.0,0,1.0,0.0,170.0,3.0,0.0,0.0,knokke-heist,Other,91.97469910069988,29.577995499826606,3203281012.67,72.2,5.4,537.8952444546014
180000,1070,APARTMENT,APARTMENT,AS_NEW,2,80.0,0,1.0,0.0,0.0,2.0,0.0,1.0,anderlecht,Brussels Capital,4.7607688316527845,15.667121200621166,5087915558.78,63.7,12.3,6683.436016570749
399000,9050,HOUSE,HOUSE,GOOD,4,136.0,1,1.0,0.0,83.0,2.0,0.0,0.0,gent,East Flanders,45.69760449370474,51.01196298577335,1990062227.7286024,72.2,5.4,
375000,1200,APARTMENT,DUPLEX,TO_BE_DONE_UP,3,114.0,0,1.0,0.0,0.0,2.0,0.0,0.0,woluwe-saint-lambert,Brussels Capital,5.611635398494777,7.011183413030368,3631679518.14,63.7,12.3,7764.8380559838515
739000,8300,APARTMENT,APARTMENT,AS_NEW,3,90.0,0,1.0,0.0,0.0,2.0,0.0,0.0,knokke-heist,Other,90.0906959404166,35.774400446684034,3203281012.67,72.2,5.4,537.8952444546014
759000,2550,HOUSE,HOUSE,GOOD,4,240.0,1,0.0,0.0,457.0,3.0,0.0,0.0,kontich,Antwerp,31.55885756970381,6.909059980027508,1788382449.7400002,76.2,3.4,887.1288879164013
550000,3001,HOUSE,HOUSE,TO_BE_DONE_UP,4,204.0,0,1.0,1.0,300.0,2.0,0.0,0.0,leuven,Flemish Brabant,23.837796855713574,15.306740877026208,1736432639.621848,72.2,5.4,
329950,9600,HOUSE,APARTMENT_BLOCK,GOOD,4,216.0,0,1.0,1.0,190.0,2.0,0.0,0.0,renaix,East Flanders,53.47722497364936,63.85448746995458,1493822585.5,72.2,5.4,762.8989167722775
290000,7800,APARTMENT,APARTMENT,GOOD,2,81.0,0,0.0,0.0,0.0,2.0,0.0,1.0,ath,Hainaut,46.96679220175689,51.5207915996837,2001774118.45,72.2,5.4,229.16290670415376
