Postal Code,Latitude,Longitude
9120,51.21395164485779,4.241424192342918
7062,50.548012339069835,4.100931494300653
1005,50.87298266192055,4.375234148039785
3960,51.14058541231272,5.636412026020706
8340,51.242984753181155,3.3526971798341947
4607,50.728569832193,5.741479660950062
4730,50.707875064250665,6.06781126323219
4050,50.58522465817122,5.6444051822288746
4601,50.70207095830987,5.688323937396018
7320,50.480332045342706,3.647114170315043
2900,51.26417701511706,4.508194509964705
5500,50.228545842808934,4.90622118525634
5542,50.19203680336448,4.8407337935185675
3550,51.00902295258934,5.294774004254104
3793,50.752388289041704,5.872385566958153
3803,50.83301023422726,5.147664225873109
3830,50.84595525055639,5.336452655385173
8430,51.17815500112932,2.8368380598056255
6662,50.104656740274564,5.844017287644833
6860,49.80698722514835,5.6099619087915436
4317,50.65927815315745,5.2435332996051995
7950,50.57418829736578,3.8079366251543827
5002,50.47869396859471,4.838488417206432
3832,50.84458399365827,5.290647724109565
1970,50.84309057749016,4.492424812620597
4550,50.521984968720844,5.385171379484152
4653,50.65978684223363,5.758240678205082
7900,50.59212889282027,3.6154793651811903
1430,50.65387528143722,4.124926940143261
1476,50.575783513789226,4.410456750172978
2110,51.229586673387296,4.516867253463567
6880,49.84977519876712,5.240492986044481
3051,50.80458708010642,4.650360859796001
5004,50.478874984040665,4.893869705686034
9042,51.161780043746816,3.810343889705428
9520,50.9399317811508,3.9054061642290923
4987,50.42261730261762,5.787930660775993
7130,50.43277241381592,4.091806919824024
7603,50.49830025259294,3.613561374498213
7041,50.37493720462305,4.024781199341022
2160,51.20678750787161,4.518952239348571
4253,50.66735930571338,5.194486533626656
4950,50.50290789629794,6.1314033893304325
7904,50.59212889282027,3.6154793651811903
7070,50.51427419126255,4.120027302711064
1000,50.853812373745676,4.369278654960959
2223,51.02869754911989,4.697724012817591
2800,51.03007676437425,4.468101716569333
5100,50.41121198572444,4.899775924422468
7170,50.50169979774876,4.2454380952875646
1402,50.589972355763386,4.378963304808165
2400,51.241515872832345,5.1221318711285955
