Province,total_income
Flandre occidentale,1014830833.83
Flandre occidentale,620646474.92
Flandre occidentale,317928686.36
Flandre occidentale,779706689.0600001
Flandre occidentale,1944687733.46
Flandre occidentale,826874529.9599999
Flandre occidentale,818506667.9000001
Flandre orientale,6205573743.46
Flandre orientale,1386633372.44
Flandre orientale,2346891061.13
Flandre orientale,1424590699.98
Flandre orientale,1390051109.48
Flandre orientale,1454238137.77
Flandre orientale,2721758710.48
Flandre orientale,808401124.1600001
Flandre orientale,2091569352.27
Flandre orientale,1566400542.1000001
Flandre orientale,1103150423.1
Flandre orientale,1129175220.05
Flandre orientale,3295605739.0599995
Flandre orientale,1691410393.5
Flandre orientale,980635290.3800001
Flandre orientale,1408074567.3700001
Flandre orientale,917546638.45
Flandre orientale,1854868521.6299999
Flandre orientale,879202167.93
Flandre orientale,1382388158.6799998
Flandre orientale,1060239434.6899999
Flandre orientale,1441451321.48
Flandre orientale,492661517.89
Flandre orientale,1671968712.8599997
Flandre orientale,489370048.96
Flandre orientale,845216682.1099999
Flandre orientale,1021941228.98
Flandre orientale,1576449695.5900002
Flandre orientale,2691586967.2
Flandre orientale,1043111725.7299998
Flandre orientale,18028418142.12
Flandre orientale,1812740423.81
Flandre orientale,947004205.2600001
Flandre orientale,2064611494.2099998
Flandre orientale,489780177.54999995
Flandre orientale,961014555.39
Flandre orientale,1117714304.28
Flandre orientale,818354627.9999999
Flandre orientale,563639964.52
Flandre orientale,1123022602.3200002
Flandre orientale,3344060399.86
Flandre orientale,2221066498.05
Flandre orientale,1994728369.9299998
Flandre orientale,2327440474.2000003
Flandre orientale,1493822585.5
Flandre orientale,1078402438.2600002
Flandre orientale,486275345.01
Flandre orientale,503428504.5500001
Flandre orientale,167039262.82
Flandre orientale,494281958.03
Flandre orientale,495555173.58000004
Flandre orientale,629625910.47
Flandre orientale,1219000868.1100001
Flandre orientale,3789448414.18
Flandre orientale,1235396958.51
Flandre orientale,2885795091.0600004
Flandre orientale,1477602399.73
Flandre orientale,5115531908.049999
Flandre orientale,1395033497.1399999
Flandre orientale,2165736088.41
Hainaut,2001774118.4499998
Hainaut,879351368.1100001
Hainaut,710153170.1700001
Hainaut,243606986.63
Hainaut,445667157.46000004
Hainaut,407475677.87000006
Hainaut,232369906.97
Hainaut,801178718.6500001
Hainaut,968789064.8000001
Hainaut,633494636.42
Hainaut,1134370169.6799998
Hainaut,854035352.9100001
Hainaut,9552787098.79
Hainaut,1779611348.3099997
Hainaut,1733263961.76
Hainaut,489178328.20000005
Hainaut,1313333119.42
Hainaut,1013496765.0200001
Hainaut,962743515.19
Hainaut,746578073.9300001
Hainaut,1225810703.98
Hainaut,620787475.4899999
Hainaut,700646742.61
Hainaut,1010132493.54
Hainaut,898463077.86
Hainaut,1196631555.4499998
Hainaut,389441422.9
Hainaut,775372442.1600001
Hainaut,298634036.48
Hainaut,5508958412.54
Hainaut,941380736.89
Hainaut,360258046.53999996
Hainaut,1465312864.37
Hainaut,989548703.1099999
Hainaut,338945843.18
Hainaut,547131662.5500001
Hainaut,1516778358.3
Hainaut,595036432.72
Hainaut,1790555060.12
Hainaut,729278494.86
Hainaut,820266059.76
Hainaut,1282711060.94
Hainaut,696800640.31
Hainaut,440478662.57
Hainaut,542286206.95
Hainaut,546761235.8000001
Hainaut,234317738.43999997
Hainaut,396256172.81
Hainaut,247700085.89000002
Hainaut,267957822.98000002
Hainaut,1005518615.6400001
Hainaut,1078468643.6200001
Hainaut,288417424.70000005
Hainaut,442386402.35
Hainaut,354730655.14
Hainaut,645111323.64
Hainaut,371640142.88
Hainaut,994292890.7299999
Hainaut,314027726.48
Hainaut,4269738107.12
Hainaut,511177047.04999995
Hainaut,874197487.8700001
Hainaut,249515298.95
Hainaut,3167438637.1299996
Hainaut,960370974.9799998
Hainaut,4269236716.59
Hainaut,1972885859.25
Hainaut,513320038.30999994
Hainaut,1108249828.93
Liège,879217193.8799999
Liège,247637549.85000002
Liège,332118167.61
Liège,347662011.93
Liège,239936228.81000003
Liège,402036482.87
Liège,1317370349.15
Liège,380108093.80999994
Liège,297763118.71000004
Liège,476068091.22
Liège,190835314.58
Liège,328882796.5
Liège,480424538.47
Liège,964462471.0799999
Liège,304892030.36
Liège,355743031.58
Liège,201684146.01000002
Liège,1651765211.96
Liège,641831204.25
Liège,832289785.18
Liège,582830702.98
Liège,695626344.52
Liège,1684295178.4400003
Liège,316640589.01
Liège,550730763.29
Liège,1005703978.25
Liège,1011466282.81
Liège,2117667109.4400005
Liège,684039331.1800001
Liège,10411526122.86
Liège,1577886570.9499998
Liège,1190133066.44
Liège,3230529088.27
Liège,1124996934.2199998
Liège,1126916808.6
Liège,1130262484.59
Liège,1257145649.0700002
Liège,941798963.55
Liège,1550234734.95
Liège,846066660.1999998
Liège,521884712.92999995
Liège,351972862.62
Liège,292442264.38
Liège,300015671.67
Liège,353603269.42999995
Liège,350420703.95
Liège,660918260.07
Liège,1260380341.75
Liège,1193483913.52
Liège,648822703.07
Liège,658346609.59
Liège,228598834.96999997
Liège,354794950.11
Liège,376209345.72999996
Liège,810907485.73
Liège,322080316.9
Liège,558965005.91
Liège,758343546.19
Liège,674338663.95
Liège,626045301.3199999
Liège,454307564.9000001
Liège,218616816.21999997
Liège,857290899.94
Liège,2794350643.88
Liège,465969422.49999994
Liège,658098030.37
Liège,155146156.46
Liège,255526072.08
Liège,636429704.29
Liège,396694682.59
Liège,233457921.7
Liège,453490661.6600001
Liège,260240519.74000004
Liège,246403887.03000003
Liège,243757246.34
Liège,261698625.38
Liège,1236724143.12
Liège,232426485.60000002
Liège,277555526.70000005
Liège,446095595.66999996
Liège,459313540.68
Liège,1055454376.46
Liège,212132237.03999996
Liège,307836673.68
Limbourg,574223641.0699999
Limbourg,2984997617.77
Limbourg,1377532687.04
Limbourg,4044931768.11
Limbourg,618327814.46
Limbourg,692796043.6500001
