Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Distance_to_Brussels,Distance_to_Nearest_Airport,total_income,Employment Rate (%),Unemployment Rate (%)
460000,1348,HOUSE,HOUSE,TO_BE_DONE_UP,3,129.0,0,1.0,0.0,154.0,2.0,0.0,0.0,Mont-Saint-Guibert,Walloon Brabant,25.75134384853032,26.289757163234928,637402876.3000001,72.2,5.4
470000,1150,APARTMENT,APARTMENT,TO_BE_DONE_UP,3,140.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Woluwe-Saint-Pierre,Brussels Capital,6.763860980854028,8.336993173732244,3119975982.09,63.7,12.3
185000,6200,HOUSE,HOUSE,TO_RENOVATE,3,200.0,0,1.0,0.0,389.0,3.0,0.0,0.0,Châtelet,Hainaut,53.09064951788037,8.545346142699843,1779611348.3099997,68.1,6.8
170000,9000,APARTMENT,APARTMENT,GOOD,1,34.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Gent,East Flanders,49.65667099682047,53.842745493866346,1990062227.7286022,72.2,5.4
379000,9040,APARTMENT,APARTMENT,GOOD,2,114.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Gent,East Flanders,47.37056704838535,50.11680017199837,1990062227.7286022,72.2,5.4
200000,4020,HOUSE,HOUSE,GOOD,3,130.0,1,1.0,1.0,162.0,2.0,0.0,0.0,Liège,Liège,93.5154291057074,13.75280985443256,10411526122.86,72.2,5.4
89000,4102,HOUSE,HOUSE,TO_RENOVATE,2,60.0,0,1.0,0.0,84.0,2.0,0.0,0.0,Seraing,Liège,88.76549473901132,8.628791562683078,3230529088.27,72.2,5.4
225000,7100,HOUSE,HOUSE,GOOD,4,150.0,0,0.0,0.0,433.0,3.0,0.0,0.0,La Louvière,Hainaut,42.57954332119568,18.81375669369088,4269236716.59,72.2,5.4
460000,8501,HOUSE,HOUSE,AS_NEW,4,242.0,0,1.0,1.0,257.0,3.0,0.0,0.0,Kortrijk,Other,78.4627079501174,47.70758375282313,1754096553.2486956,72.2,5.4
239000,8560,APARTMENT,APARTMENT,GOOD,2,75.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Wevelgem,Other,84.32913925656098,46.08198454390215,2136998574.39,72.2,5.4
