TX_MUNTY_DESCR_FR,total_income
Westerlo,1820222672.09
Wetteren,1854868521.6299999
Wevelgem,2136998574.3899999
Wezembeek-Oppem,1177259742.1399999
Wichelen,879202167.93
Wielsbeke,653135872.32
Wijnegem,749290770.05
Willebroek,1810658407.9900002
Wingene,1014830833.83
Woluwe-Saint-Lambert,3631679518.14
Woluwe-Saint-Pierre,3119975982.09
Wommelgem,952145963.59
Wortegem-Petegem,503428504.5500001
Wuustwezel,1504282928.27
Ypres,2310300056.96
Yvoir,636986270.57
Zandhoven,1002453532.4599998
Zaventem,2420508802.35
Zedelgem,1687312975.0400002
Zele,1382388158.6799998
Zelzate,845216682.1099999
Zemst,1992278342.42
Zoersel,1770592995.0000002
Zonhoven,1543075737.93
Zonnebeke,817857540.8199999
Zottegem,2091569352.27
Zuienkerke,206481777.90999997
Zulte,1123022602.3200002
Zutendaal,518190128.2299999
Zwalin,629625910.47
Zwevegem,1775738385.3200002
Zwijndrecht,1347495945.7
